iteration,idea,implementation,mode,candidate_mode,timing_scope,supported,qualified_full_validation,latency_ms,speedup_eager,R_model,R_model_scope,zero_products,model_products,error
001-dense-screen,Freeze the strongest correct dense execution control,dense,compile_max_autotune,graph,development,False,False,,,0.27482684296304843,"canonical source full validation, not recounted BF16",1748738568719,6363055915008,"Bad import result
  Explanation: Import result is not a Python module.


  Developer debug context: _LazyModule

 For more details about this graph break, please visit: https://meta-pytorch.github.io/compile-graph-break-site/gb/gb0022.html

from user code:
   File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/autoresearch/benchmark.py"", line 90, in <lambda>
    runner = dense.DenseRunner(lambda ids: model(input_ids=ids, use_cache=False).logits,
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/transformers/utils/generic.py"", line 907, in wrapper
    output = func(self, *args, **kwargs)
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/transformers/models/gpt_neox/modeling_gpt_neox.py"", line 452, in forward
    outputs: BaseModelOutputWithPast = self.gpt_neox(
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/transformers/utils/generic.py"", line 1036, in wrapper
    output = func(self, *args, **kwargs)
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/transformers/utils/output_capturing.py"", line 252, in wrapper
    outputs = func(self, *args, **kwargs)
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/transformers/models/gpt_neox/modeling_gpt_neox.py"", line 366, in forward
    hidden_states = layer(
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/transformers/modeling_layers.py"", line 93, in __call__
    return super().__call__(*args, **kwargs)
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1779, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1790, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/transformers/models/gpt_neox/modeling_gpt_neox.py"", line 268, in forward
    attn_output, _ = self.attention(
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1779, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1790, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/workspace/sparsity-spillover/src/sparsity_research/pythia.py"", line 200, in _attention_forward
    from transformers.models.gpt_neox import modeling_gpt_neox

Set TORCHDYNAMO_VERBOSE=1 for the internal stack trace (please do this especially if you're reporting a bug to PyTorch). For even more developer context, set TORCH_LOGS=""+dynamo""
"
001-dense-screen,Freeze the strongest correct dense execution control,dense,compile_reduce_overhead,graph,development,False,False,,,0.27482684296304843,"canonical source full validation, not recounted BF16",1748738568719,6363055915008,"Bad import result
  Explanation: Import result is not a Python module.


  Developer debug context: _LazyModule

 For more details about this graph break, please visit: https://meta-pytorch.github.io/compile-graph-break-site/gb/gb0022.html

from user code:
   File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/autoresearch/benchmark.py"", line 90, in <lambda>
    runner = dense.DenseRunner(lambda ids: model(input_ids=ids, use_cache=False).logits,
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/transformers/utils/generic.py"", line 907, in wrapper
    output = func(self, *args, **kwargs)
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/transformers/models/gpt_neox/modeling_gpt_neox.py"", line 452, in forward
    outputs: BaseModelOutputWithPast = self.gpt_neox(
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/transformers/utils/generic.py"", line 1036, in wrapper
    output = func(self, *args, **kwargs)
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/transformers/utils/output_capturing.py"", line 252, in wrapper
    outputs = func(self, *args, **kwargs)
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/transformers/models/gpt_neox/modeling_gpt_neox.py"", line 366, in forward
    hidden_states = layer(
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/transformers/modeling_layers.py"", line 93, in __call__
    return super().__call__(*args, **kwargs)
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1779, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1790, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/transformers/models/gpt_neox/modeling_gpt_neox.py"", line 268, in forward
    attn_output, _ = self.attention(
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1779, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""/workspace/sparsity-spillover/runs/026-2026-09-06-pythia14m-fused-sparse-kernel/runtime/venv/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1790, in _call_impl
    return forward_call(*args, **kwargs)
  File ""/workspace/sparsity-spillover/src/sparsity_research/pythia.py"", line 200, in _attention_forward
    from transformers.models.gpt_neox import modeling_gpt_neox

Set TORCHDYNAMO_VERBOSE=1 for the internal stack trace (please do this especially if you're reporting a bug to PyTorch). For even more developer context, set TORCH_LOGS=""+dynamo""
"
001-dense-screen,Freeze the strongest correct dense execution control,dense,graph,graph,development,True,False,1.3958570780232549,2.057598218037846,0.27482684296304843,"canonical source full validation, not recounted BF16",1748738568719,6363055915008,Numerical gate failed or incomplete qualification
001-dense-screen,Freeze the strongest correct dense execution control,dense,native,graph,development,True,True,2.8699515387415886,1.0,0.27482684296304843,"canonical source full validation, not recounted BF16",1748738568719,6363055915008,
002-dense-hoisted,Hoisted attention import and deterministic cuBLAS workspace,dense,compile_max_autotune,graph,development,True,False,1.0086995316669345,4.142200452634765,0.27482684296304843,"canonical source full validation, not recounted BF16",1748738568719,6363055915008,Numerical gate failed or incomplete qualification
002-dense-hoisted,Hoisted attention import and deterministic cuBLAS workspace,dense,compile_reduce_overhead,graph,development,True,False,1.0850089602172375,3.8638799157165624,0.27482684296304843,"canonical source full validation, not recounted BF16",1748738568719,6363055915008,Numerical gate failed or incomplete qualification
002-dense-hoisted,Hoisted attention import and deterministic cuBLAS workspace,dense,graph,graph,development,True,False,1.3898529578000307,3.0111689514458835,0.27482684296304843,"canonical source full validation, not recounted BF16",1748738568719,6363055915008,Numerical gate failed or incomplete qualification
002-dense-hoisted,Hoisted attention import and deterministic cuBLAS workspace,dense,native,graph,development,True,True,4.17909340467304,1.0,0.27482684296304843,"canonical source full validation, not recounted BF16",1748738568719,6363055915008,
003-k017-eager,"Fuse h and z gates into exact sparse projections, 4 elements and 4 warps",k017,candidate,native,development,True,True,3.466921509243548,1.271296064398599,0.27482684296304843,"canonical source full validation, not recounted BF16",1748738568719,6363055915008,
003-k017-eager,"Fuse h and z gates into exact sparse projections, 4 elements and 4 warps",k017,compile_max_autotune,native,development,True,False,1.0217789094895124,4.3117059673407345,0.27482684296304843,"canonical source full validation, not recounted BF16",1748738568719,6363055915008,Numerical gate failed or incomplete qualification
