claim_id,claim_text,type,source_path,run_ids,precision,comparison,manuscript_location,verification,allowed_wording
D01,Fixed cutoffs avoid ranking and per-input estimation while leaving active counts as training outcomes,DESIGN_RATIONALE,manuscript/draft/revision-v2/literature-checks.md,,primary literature,Q-Sparse and Spark lineage,methodology.tex,Primary sections/equations verified,Motivates the intervention; no measured advantage over Spark
D02,A fixed relative OL1 cap provides a controlled pressure mechanism,DESIGN_RATIONALE,analyses/020-2026-09-09-intervention-revision/observations/O001-optimizer-logs.md,009;014;015;018;019,FP16 training / FP32 direction math,fixed budget b=1 and multisite weight=1,methodology.tex,336 source references and configs verified,Design rationale; no untested trajectory robustness
M01,Ideal OL1 protects u-direction and caps auxiliary norm; saturates at fixed state,DERIVED,analyses/020-2026-09-09-intervention-revision/geometry.py; analyses/020-2026-09-09-intervention-revision/test_geometry.py,,ideal arithmetic,fixed nonzero adaptive u and pressure w,methodology-appendix.tex,Proof plus aligned/conflicting/degenerate/scaling CPU tests,"Protects adaptive direction, not actual task loss; stabilizers approximate"
O01,"7283 of 24208 OL1 boundaries cap-active (30.09 percent), strongly recipe-dependent",OBSERVED,analyses/020-2026-09-09-intervention-revision/data/log-audit.json,009;014;015;018;019,pre-learning-rate logged directions,34 conditions; all/early/late phases,methodology-appendix.tex,Actual cap condition and ratio fields reconciled on every boundary,Observed saturation only; exclude zero LR when describing displacement
M02,Global positive pressure scaling cancels ideally if both fixed-state corrections saturate,DERIVED,analyses/020-2026-09-09-intervention-revision/geometry.py,,ideal arithmetic,same expanded target set / fixed optimizer state,methodology-appendix.tex,CPU saturation and positive-scaling tests,Target expansion changes mixture; denominator alone does not establish effective dilution
M03,Architectural reach estimates affected multiplication share before training,DERIVED,analyses/020-2026-09-09-intervention-revision/observations/O002-reach.md,,integer operation counts,h/mh/A4/A7 across three architectures,methodology.tex; experimental-appendix.tex,"Inventory, union, V=0 closure and width/depth/T/vocabulary tests",Full uncached sequence workload; no quality or runtime guarantee
O02,Pressure adds 2.498 pp/+0.3783 loss at A4 and 12.096 pp/+0.1265 at A7 kappa=.5,OBSERVED,analyses/019-2026-09-09-manuscript-rewrite-audit/training-audit.json,011;013;014;015,FP16,pressure on/off at matched threshold,training-results.tex,Unrounded differences in 04_verify_claims.py,Conditional complete pressure mechanism; target mixture differs
O03,Local OL1 lowers loss versus naive L1 at three weights but reverses at weight 1,OBSERVED,analyses/019-2026-09-09-manuscript-rewrite-audit/training-audit.json,004;009,FP16,matched four local weights,training-results.tex,All 29 paired deltas verified from source records,Complete update-rule comparison; not isolated projection
O04,A7-OL1 has fewer FFN zeros but gains 16.72 pp in QK/PV and loses 1.95 pp in projections,OBSERVED,analyses/019-2026-09-09-manuscript-rewrite-audit/training-audit.json; analyses/018-2026-09-08-results-materials/activation-density-v3-data.json,014;015;031,canonical FP16 counts / separate FP16 histograms,14M kappa=.5,training-results.tex,Integer operation sums; retained density audit,"Endpoint distributions explain allocation, not a time trajectory"
O05,Zero z-row rates are 97.15/91.20 percent for A4-OL1/A7-OL1,OBSERVED,analyses/019-2026-09-09-manuscript-rewrite-audit/runtime-audit.json,029,BF16 untimed diagnostic,14M kappa=.5,training-results.tex; results-appendix.tex,Pooled per-layer row histograms verified,Projection returns bias on zero rows; no residual-stream/context-collapse claim
O06,High-threshold A7-OL1 improves loss and sparsity over A4-OL1 at all three sizes,OBSERVED,analyses/020-2026-09-09-intervention-revision/data/cross-size-audit.json,014;015;018;019,FP16,matched kappa=.5 complete recipes,training-results.tex; introduction.tex; abstract.tex,Unrounded pair deltas and checkpoint manifests verified,Recurrence across sizes; no independent-seed replication
